Timestamp,Select the age range that applies,In what region do you currently live / work?,What gender do you identify with?,How many years have you been a professional designer? (regardless of career level),"Before starting your design career, what was your primary academic or professional trajectory?",What is the highest level of design education you have completed?,When did you first consider design as a career path,"When you first considered design as a career path, what was your level of confidence in your decision?",How supportive were the people around you about pursuing design as career?,To what degree do you feel like you displayed natural qualities of leadership when you were growing up?,How would you describe your entry into design as a career?,"How much do you agree with the following statement: ""Someone actively invited or guided me into the design field (e.g., a mentor, professor, or peer).""",Was your first career job as a designer or in a different profession/industry?, How would you describe the scale of the first design team you worked in?, How would you describe the type of organization you first worked in as a designer?, How would you describe the design discipline / practice of your first professional design job?,What career level best describes your current position?,How long have you been in your current role?,What is the title of the person who you report to?,"When you began your current role, to what degree were you sufficiently onboarded or trained? ","As you've advanced in your career, how much have coaches, mentors, or sponsors influenced your journey? ","As you've advanced in your carer, have you received formal training in management or leadership? ",Which of the following have been major setbacks in your career [select all that apply],How many years into your career did you first hold a formal design leadership role? (i.e. managing people or leading a project/initiative),"In your current role, how many designers report up to you? (directly or indirectly)","Do you manage employees outside of design (i.e., engineers, product managers, etc)? If so, how many and what functions? ",Which factors have been most important to you advancing in your career as a design leader? [select at most 3],"In the next 5 years, how do you expect the global design industry to evolve?","In the next 5 years, how much do you expect your tool stack to change?","In the next 5 years, which direction best describes your intended career trajectory? ",How much are you actively investing in your own career aspirations?,How much are you actively developing successors or next-generation leaders in your team or org?,How many people have you mentored in the past 3 years? (rough estimate),"Outside of your primary role, are you currently engaged in any of the following? (Select all that apply)","If you'd like to be interviewed for the project as well, please leave your email."
3/5/2026 17:17:49,36-45,North America,Female,15,Arts / Fine Arts / Humanities,I did not study design formally.,Early career (0–3 years into a different field),3,3,3,An unexpected opportunity I hadn't planned for,1,My first job was in a different profession / industry.,"Large, established design organization (21+)",Agency / Consultancy,Design Ops,Senior design manager (managing multiple teams),2 years,VP,3,5,3,"Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout",4,2,0,"Proven business or user outcomes, Published writing or thought leadership, Sponsorship or advocacy from senior leaders",3,5,shift to a different professional discipline / business area,4,4,50,"Writing (blog, book, articles), Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Community organizing or design advocacy",
3/5/2026 17:19:57,56-65,North America,Female,27 years,Arts / Fine Arts / Humanities,I did not study design formally.,Early career (0–3 years into a different field),4,4,3,A natural continuation of what I'd always been doing,4,My first job was in a different profession / industry.,Small team (2–5 designers),Agency / Consultancy,information architecture,Advisor / Mentor,2.5 years,I am self-employed,1,1,5,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Lack of growth opportunities at my company, Burnout",17,0,no,"Previous team size or headcount managed, Business accumen, Ability to influence and work with other roles (product management, marketing, engineering, sales), as well as functioning as an executive leader in a credible way",2,5,continue at current level,3,1,6,"Writing (blog, book, articles), Building a company or startup, Social media / content creation",
3/5/2026 17:32:33,46-55,North America,Female,30,Law,I hold an undergraduate degree in design,During undergraduate studies,5,5,3,A gradual accumulation of interests that reached a tipping point,4,My first job was as a designer.,Solo designer (I was the only designer in the organization),Corporate (In-house),Graphic Design,VP level designer,3 years,SVP,1,2,2,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Burnout, Politics",5,25,"Yes, Research and Product Managers","Proven business or user outcomes, Relationships with key stakeholders, Business accumen",4,5,unsure,3,3,5,Building a company or startup,
3/5/2026 17:32:33,36-45,North America,Non binary,12,"Social Sciences (Psychology, Sociology, Anthropology)",I did not study design formally.,Early career (0–3 years into a different field),5,2,3,A single defining moment or experience,1,My first job was in a different profession / industry.,Mid-size team (6–20 designers),Startup,Digital product Design,Director level designer,11 months,CPO,3,1,2,"Under-compensation or financial pressure, Lack of growth opportunities at my company, Contracted design job market industry-wide",2,8,0,"Proven business or user outcomes, Previous team size or headcount managed, Business accumen",2,4,advance to the next career level,5,5,20,"Mentoring or coaching (informal), Building a company or startup",
3/5/2026 17:36:02,36-45,North America,Female,20,Architecture,I hold a Master's degree or higher in design.,During undergraduate studies,4,4,4,A pragmatic decision based on job prospects or circumstances,2,My first job was as a designer.,Small team (2–5 designers),Corporate (In-house),"Graphic Design, Digital product Design, Editorial Design",Director level designer,1 year,CEO,1,4,2,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Lack of growth opportunities at my company, Burnout",3,3,no,"Case studies with measurable business results, Published writing or thought leadership, Advanced degree (MBA, MFA, etc.)",4,5,advance to the next career level,4,3,10,"Writing (blog, book, articles), Teaching or lecturing, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Community organizing or design advocacy",
3/5/2026 17:40:43,46-55,North America,Female,26,"Social Sciences (Psychology, Sociology, Anthropology)",I hold a Master's degree or higher in design.,During undergraduate studies,5,5,4,A natural continuation of what I'd always been doing,5,My first job was as a designer.,"Large, established design organization (21+)",Agency / Consultancy,UX Research,Director level designer,6 months ,Executive director,1,5,5,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Burnout",2,0 as I am currently freelancing as a fractional experience strategy advisor to design leads within an organization.,0,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",2,4,shift your career away from design completely,4,5,7,"Attending conferences and events, Mentoring or coaching (informal)",
3/5/2026 18:02:45,46-55,North America,Female,33 years,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,Before college/university,1,1,3,A gradual accumulation of interests that reached a tipping point,1,My first job was as a designer.,Mid-size team (6–20 designers),Contractor,Game design,Design System Program Manager (IC),2.5 years,Director of UX,4,1,1,"Project or product being cancelled, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout, Dot-com bust -- market imploded",3,0,0,"Business accumen, Years of experience, Soft skills and working at companies like WebMd, Coca-Cola, IBM",3,5,this market with the combination of AI and tech layoffs make it hard to plan the future,4,3,5,"Attending conferences and events, Side projects or freelance work, Social media / content creation",
3/5/2026 18:14:30,56-65,North America,Male,35,I was always on a design-specific track,I hold a Master's degree or higher in design.,Before college/university,4,3,4,A gradual accumulation of interests that reached a tipping point,3,My first job was as a designer.,"Large, established design organization (21+)",Agency / Consultancy,Industrial Design,VP level designer,10,Chief Design Officer,4,4,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Lack of top down sponsorship",5,12,None,"Published writing or thought leadership, Relationships with key stakeholders, Business accumen",2,4,"Advance to next career level, or Academia",4,3,5,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Building a company or startup, Community organizing or design advocacy, Social media / content creation",
3/5/2026 19:24:22,56-65,North America,Male,32,Engineering / Computer Science,I hold a Master's degree or higher in design.,During graduate studies,3,3,3,A gradual accumulation of interests that reached a tipping point,1,My first job was in a different profession / industry.,"Large, established design organization (21+)",Corporate (In-house),"Digital product Design, UX Research, UI Design",VP level designer,1 year,VP - Engineering,5,5,2,Under-compensation or financial pressure,4,10,no,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",3,3,continue at current level,1,4,10,"Writing (blog, book, articles), Mentoring or coaching (informal)",
3/5/2026 19:42:33,46-55,North America,Female,29,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,During undergraduate studies,2,3,5,An unexpected opportunity I hadn't planned for,4,My first job was as a designer.,Small team (2–5 designers),Academic,"Digital product Design, UI Design, Communication Design, Content Design",VP level designer,2 years,SVP Digital,2,2,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Burnout",21,24,no,"Sponsorship or advocacy from senior leaders, Business accumen, Technical accumen",1,5,shift your career away from design completely,3,3,3,Attending conferences and events,
3/5/2026 20:10:12,36-45,North America,Female,14,I was always on a design-specific track,I hold an undergraduate degree in design,Before college/university,4,4,5,A gradual accumulation of interests that reached a tipping point,5,My first job was as a designer.,Small team (2–5 designers),Corporate (In-house),"Graphic Design, Digital product Design, Communication Design, Interaction Design, Content Design",Senior IC / Principal designer,1.5 years,CEO & Founders,5,4,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Lack of growth opportunities at my company",4,0,n/a,"Proven business or user outcomes, Case studies with measurable business results, Sponsorship or advocacy from senior leaders",3,5,"start your own company (agency, startup, etc.)",5,2,2,"Side projects or freelance work, Building a company or startup",
3/5/2026 20:38:09,36-45,North America,Male,14,I was always on a design-specific track,I hold an undergraduate degree in design,During undergraduate studies,3,4,2,An unexpected opportunity I hadn't planned for,1,My first job was as a designer.,Small team (2–5 designers),Public Sector / Government,Interaction Design,Design manager (managing one team of designers),2 years / 7 months,Director of Design ,3,2,5,"Layoffs / Contraction at my company, Under-compensation or financial pressure, Burnout",8,5,No,"Proven business or user outcomes, Previous team size or headcount managed, Budget or scope of management",3,4,unsure,2,3,6,Mentoring or coaching (informal),
3/5/2026 20:53:47,24-35,North America,Female,12,Arts / Fine Arts / Humanities,I did not study design formally.,Early career (0–3 years into a different field),3,5,5,A gradual accumulation of interests that reached a tipping point,1,My first job was in a different profession / industry.,"Large, established design organization (21+)",Agency / Consultancy,UX Research,Director level designer,3 years,Partner Design Director,3,3,5,"Layoffs / Contraction at my company, Burnout, Contracted design job market industry-wide",2,14,No,"Proven business or user outcomes, Relationships with key stakeholders, Business accumen",2,5,advance to the next career level,4,5,25,"Writing (blog, book, articles), Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Community organizing or design advocacy",
3/5/2026 20:56:54,36-45,North America,Female,18 years,Medical ,I hold an undergraduate degree in design,During undergraduate studies,1,5,5,An unexpected opportunity I hadn't planned for,1,My first job was in a different profession / industry.,Solo designer (I was the only designer in the organization),Agency / Consultancy,Brand Design,Director level designer,8tears ,VP of sales operations ,2,2,2,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout",5,5,Sponsored content journalist ,"Proven business or user outcomes, Case studies with measurable business results, Relationships with key stakeholders",2,5,unsure,2,4,4,None ,
3/5/2026 23:09:12,36-45,North America,Female,13 years,"Social Sciences (Psychology, Sociology, Anthropology)",I hold an undergraduate degree in design,Early career (0–3 years into a different field),1,4,3,An unexpected opportunity I hadn't planned for,1,My first job was as a designer.,Small team (2–5 designers),Corporate (In-house),Graphic Design,Senior / Lead designer,10 years,Design Director ,3,5,4,"Under-compensation or financial pressure, Lack of growth opportunities at my company",8,6,0,"Proven business or user outcomes, Case studies with measurable business results, Sponsorship or advocacy from senior leaders",4,4,advance to the next career level,3,2,3,"Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal)",
3/5/2026 23:12:04,36-45,North America,Female,14,I was always on a design-specific track,I hold a Master's degree or higher in design.,It was my childhood dream,3,5,2,A gradual accumulation of interests that reached a tipping point,4,My first job was as a designer.,Solo designer (I was the only designer in the organization),Corporate (In-house),"Brand Design, Graphic Design, Digital product Design, UX Writer, UX Research, UI Design",Design manager (managing one team of designers),New,Direcror,5,5,1,"Layoffs / Contraction at my company, Project or product being cancelled, Under-compensation or financial pressure, Lack of growth opportunities at my company, Contracted design job market industry-wide",2,8,No,"Proven business or user outcomes, Case studies with measurable business results, Years of experience",5,5,advance to the next career level,5,5,5,"Teaching or lecturing, Attending conferences and events, Mentoring or coaching (informal)",
3/5/2026 23:56:06,36-45,North America,Female,16,I was always on a design-specific track,I hold a Master's degree or higher in design.,During undergraduate studies,3,5,3,A pragmatic decision based on job prospects or circumstances,4,My first job was as a designer.,"Large, established design organization (21+)",Agency / Consultancy,Communication Design,Staff level designer,3 years,UX Manager,5,2,2,"Lack of growth opportunities at my company, Burnout, Lack of manager advocacy ",5,0,No,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",2,5,advance to the next career level,3,5,4,"Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Community organizing or design advocacy",
3/6/2026 6:03:20,46-55,North America,Male,32,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,Before college/university,3,4,2,Took two moves and 1.5 years of trying to land first design job,4,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,Graphic Design,Senior IC / Principal designer,4 months ,Director,4,2,2,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Burnout",6,0,No,"Proven business or user outcomes, Relationships with key stakeholders, Business accumen",1,3,unsure,4,2,5,"Writing (blog, book, articles), Mentoring or coaching (informal), Side projects or freelance work",
3/6/2026 6:35:53,36-45,North America,Female,13,Business / Economics,I have a bootcamp certificate.,Mid-career pivot (3+ years into a different field),3,3,4,A pragmatic decision based on job prospects or circumstances,2,My first job was in a different profession / industry.,"Large, established design organization (21+)",Agency / Consultancy,Digital product Design,Director level designer,2 years and 8 months,VP,2,3,3,"Layoffs / Contraction at my company, Lack of growth opportunities at my company, Burnout",6,14,No,"Budget or scope of management, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",2,5,"start your own company (agency, startup, etc.)",5,4,3,"Teaching or lecturing, Side projects or freelance work, Building a company or startup",
3/6/2026 6:43:04,24-35,North America,Female,12,I was always on a design-specific track,I hold an undergraduate degree in design,Before college/university,3,3,5,A natural continuation of what I'd always been doing,4,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,"Service Design, Design Strategy, General design research, not ux focused ",Director level designer,2 yrs,SVP of Design,3,5,3,"Under-compensation or financial pressure, Lack of growth opportunities at my company",7,12,Yes business strategy ,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",2,5,advance to the next career level,5,4,10,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Community organizing or design advocacy",
3/6/2026 7:01:39,46-55,North America,Female,25,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,Early career (0–3 years into a different field),2,4,4,A gradual accumulation of interests that reached a tipping point,1,My first job was in a different profession / industry.,Solo designer (I was the only designer in the organization),NGO / Non-profit,"Brand Design, Graphic Design, Communication Design, Interaction Design, Exhibition Design, Web design",VP level designer,1 year,"VP UX, UXR and Accessibility ",3,4,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout, Misogyny",1,50+,Not this time,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Business accumen",2,4,shift to a different professional discipline / business area,3,5,10,"Attending conferences and events, Mentoring or coaching (informal)",
3/6/2026 7:14:12,24-35,North America,Female,9,Engineering / Computer Science,I did not study design formally.,During undergraduate studies,4,5,4,An unexpected opportunity I hadn't planned for,1,My first job was as a designer.,Solo designer (I was the only designer in the organization),Corporate (In-house),"Graphic Design, Digital product Design, UX Writer, UX Research, UI Design, Design Ops",Director of Design Ops,2 years,Chief Design Officer,2,2,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Lack of growth opportunities at my company, The above two factors were present at my first company, which is what caused me to pivot. They are no longer a factor.",5.5,3 design ops practitioners,No,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Business accumen",2,5,advance to the next career level,5,4,4,I'm quite terrible at having an outside presence with my design leadership. If I have extra bandwidth I'd rather it be spent pushing my actual work further. Which isn't necessarily a good thing.,
3/6/2026 8:02:28,56-65,North America,Male,24,Business / Economics,I did not study design formally.,Before college/university,4,5,4,An unexpected opportunity I hadn't planned for,2,My first job was in a different profession / industry.,"Large, established design organization (21+)",Corporate (In-house),Business Director & Design Partnerships,Partner (consulting / design services),19,my clients (I do not report to anyone else),2,4,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Project or product being cancelled, Contracted design job market industry-wide, a general pattern of decline in the role, influence, and engagement of design",1,10,"8 - finance, innovation, insights, analytics, technology","Proven business or user outcomes, Relationships with key stakeholders, Business accumen",1,4,seek to scale impact on the entire Design community (versus serving only one client at a time).  Helping to enable design leaders (and corporate C-suites and Boards) leverage Design more strategically and profoundly,5,3,200,"Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Building a company or startup, Community organizing or design advocacy",
3/6/2026 8:23:34,36-45,North America,Male,10 years,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,Early career (0–3 years into a different field),4,4,5,A pragmatic decision based on job prospects or circumstances,4,My first job was in a different profession / industry.,Mid-size team (6–20 designers),Corporate (In-house),"Digital product Design, Interaction Design, Design Strategy",Senior design manager (managing multiple teams),4 years,Design Director,2,3,3,"Layoffs / Contraction at my company, Project or product being cancelled",6,6,No,"Proven business or user outcomes, Case studies with measurable business results, Relationships with key stakeholders",3,4,shift to a different professional discipline / business area,4,3,3,Side projects or freelance work,
3/6/2026 8:25:48,46-55,North America,Male,29,I was always on a design-specific track,I hold an undergraduate degree in design,It was my childhood dream,5,3,1,A natural continuation of what I'd always been doing,1,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,"Digital product Design, UI Design",Partner (consulting / design services),2yrs,I own the firm.,2,1,1,"Layoffs / Contraction at my company, Project or product being cancelled, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout",5,0,no,"Published writing or thought leadership, Business accumen, Years of experience",2,5,retirement,5,1,5,"Writing (blog, book, articles), Side projects or freelance work, Building a company or startup",
3/6/2026 8:30:29,36-45,North America,Female,20,"Social Sciences (Psychology, Sociology, Anthropology)",I did not study design formally.,Early career (0–3 years into a different field),3,3,5,A gradual accumulation of interests that reached a tipping point,1,My first job was in a different profession / industry.,Small team (2–5 designers),Agency / Consultancy,"Graphic Design, Interaction Design",Director level designer,1.5 years,VP,1,5,3,"Layoffs / Contraction at my company, Project or product being cancelled, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout, Contracted design job market industry-wide",4,3,"Dotted line, 9 engineers","Proven business or user outcomes, Case studies with measurable business results, Relationships with key stakeholders",1,5,unsure,5,3,4,"Writing (blog, book, articles), Attending conferences and events, Mentoring or coaching (informal), Building a company or startup, Community organizing or design advocacy",
3/6/2026 9:19:02,46-55,North America,Female,20,Engineering / Computer Science,I did not study design formally.,Mid-career pivot (3+ years into a different field),4,4,3,A natural continuation of what I'd always been doing,5,My first job was in a different profession / industry.,Small team (2–5 designers),Corporate (In-house),"Digital product Design, UI Design, Design Strategy, Content Design",Senior / Lead designer,3 years,Senior Operations Director,5,4,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Burnout",1,0,No,"Proven business or user outcomes, Advanced degree (MBA, MFA, etc.), Sponsorship or advocacy from senior leaders",3,5,shift your career away from design completely,5,2,1,"Building a company or startup, Social media / content creation",
3/6/2026 9:26:54,46-55,North America,Male,24,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,Early career (0–3 years into a different field),3,4,5,An unexpected opportunity I hadn't planned for,2,My first job was as a designer.,Mid-size team (6–20 designers),Corporate (In-house),Web Design ,Senior / Lead designer,2 years,UX Manager,2,2,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Project or product being cancelled, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout, Contracted design job market industry-wide, Unemployment due to health issues",3,"None formally, but i tend to step in and guide 4-5 people, including my supervisor. ",No,"Previous team size or headcount managed, Advanced degree (MBA, MFA, etc.), Ability to communicate to non-designers",2,5,advance to the next career level,5,2,5,"Attending conferences and events, Mentoring or coaching (informal)",
3/6/2026 9:33:33,46-55,North America,Female,27,"Social Sciences (Psychology, Sociology, Anthropology)",I did not study design formally.,During undergraduate studies,4,5,4,A gradual accumulation of interests that reached a tipping point,3,My first job was in a different profession / industry.,Small team (2–5 designers),Corporate (In-house),Website Designer,Senior Director,1 week,"Executive Vice President, Senior Creative Director",3,3,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Project or product being cancelled, Lack of growth opportunities at my company, Burnout, Contracted design job market industry-wide",2,Not sure yet,not sure yet,"Design certifications, Relationships with key stakeholders, Technical accumen",4,4,unsure,3,3,3,"Attending conferences and events, Side projects or freelance work",
3/6/2026 9:34:11,36-45,North America,Male,23,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,During undergraduate studies,3,5,2,A gradual accumulation of interests that reached a tipping point,4,My first job was in a different profession / industry.,Small team (2–5 designers),Corporate (In-house),Graphic Design,Director level designer,15yrs,CMO,2,3,4,Layoffs / Contraction at my company,12,4,-,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",4,4,advance to the next career level,4,4,6,"Attending conferences and events, Side projects or freelance work",
3/6/2026 9:48:29,46-55,North America,Male,20,Architecture,I hold a Master's degree or higher in design.,During undergraduate studies,5,5,3,A gradual accumulation of interests that reached a tipping point,2,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,Spatial Design,Senior design manager (managing multiple teams),6 years,Director,2,2,1,"Layoffs / Contraction at my company, Lack of growth opportunities at my company",3,20,no,"Previous team size or headcount managed, Case studies with measurable business results, Relationships with key stakeholders",4,4,advance to the next career level,4,5,15,"Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal)",
3/6/2026 10:58:56,46-55,North America,Male,13,Engineering / Computer Science,I hold a Master's degree or higher in design.,Mid-career pivot (3+ years into a different field),2,3,4,A gradual accumulation of interests that reached a tipping point,2,My first job was in a different profession / industry.,"Large, established design organization (21+)",Corporate (In-house),Digital product Design,Senior IC / Principal designer,5,Chief Design Officer,2,5,5,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Project or product being cancelled, Lack of growth opportunities at my company, Burnout",1,Depends on project (around 2-6 designers),No,"Proven business or user outcomes, Case studies with measurable business results, Awards or recognition",2,5,advance to the next career level,3,4,10,"Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup",
3/6/2026 11:08:01,46-55,North America,Male,30+,I was always on a design-specific track,I hold an undergraduate degree in design,During undergraduate studies,4,4,4,An unexpected opportunity I hadn't planned for,5,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,"Brand Design, Industrial Design, Packaging Design",Director level designer,3,Sr. Director,4,3,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Lack of growth opportunities at my company",10,3,0,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Business accumen",2,5,shift to a different professional discipline / business area,4,2,6,"Writing (blog, book, articles), Teaching or lecturing, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup",
3/6/2026 11:54:18,36-45,North America,Male,20,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,Before college/university,3,2,4,A gradual accumulation of interests that reached a tipping point,5,My first job was in a different profession / industry.,Small team (2–5 designers),Agency / Consultancy,Graphic Design,Senior design manager (managing multiple teams),5 years,VP of Product,1,1,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Under-compensation or financial pressure, Lack of growth opportunities at my company",7,6,no,"Proven business or user outcomes, Published writing or thought leadership, Relationships with key stakeholders",1,5,advance to the next career level,5,4,12,"Writing (blog, book, articles), Teaching or lecturing, Mentoring or coaching (informal), Side projects or freelance work, Community organizing or design advocacy",
3/6/2026 11:54:26,46-55,North America,Female,30,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,Before college/university,3,5,1,A gradual accumulation of interests that reached a tipping point,5,My first job was in a different profession / industry.,Small team (2–5 designers),Agency / Consultancy,"Graphic Design, Web design",Creative Director (consulting / design services),7 years,Chief Communications Officer,3,5,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Lack of growth opportunities at my company",7,4,"yes, photographers, multimedia producer, videographer","Sponsorship or advocacy from senior leaders, Business accumen, Knowing who to ask when outside of my own expertise",4,4,advance to the next career level,3,4,10,"Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal)",
3/6/2026 12:28:40,46-55,North America,Male,30,Engineering / Computer Science,I hold an undergraduate degree in design,Before college/university,3,4,4,A gradual accumulation of interests that reached a tipping point,2,My first job was as a designer.,Mid-size team (6–20 designers),Corporate (In-house),"UX Writer, UX Research, UI Design, Interaction Design",Senior design manager (managing multiple teams),5 years,Director of Design,3,3,4,"Layoffs / Contraction at my company, Life events (eg. children)",25,8,None,"Relationships with key stakeholders, Business accumen, Years of experience",3,5,advance to the next career level,3,4,2,Attending conferences and events,
3/6/2026 12:33:50,36-45,North America,Female,20,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,Before college/university,3,1,3,A gradual accumulation of interests that reached a tipping point,1,My first job was as a designer.,Mid-size team (6–20 designers),Agency / Consultancy,"Communication Design, Motion Design",Senior design manager (managing multiple teams),3,Director,1,4,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Project or product being cancelled, Lack of growth opportunities at my company",2,5,0,"Proven business or user outcomes, Relationships with key stakeholders, Business accumen",3,5,advance to the next career level,2,5,9,Mentoring or coaching (informal),
3/6/2026 12:56:32,36-45,North America,Female,16,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,During undergraduate studies,2,3,2,An unexpected opportunity I hadn't planned for,2,My first job was as a designer.,Mid-size team (6–20 designers),Corporate (In-house),Graphic Design,Director level designer,1.5 years,Senior Director Product Design,4,2,5,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Lack of growth opportunities at my company, Burnout",8,4,no,"Case studies with measurable business results, Advanced degree (MBA, MFA, etc.), Business accumen",2,5,unsure,4,1,1,"Attending conferences and events, Mentoring or coaching (informal), Side projects or freelance work",
3/6/2026 13:42:34,56-65,North America,Male,35,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,During undergraduate studies,5,4,4,A pragmatic decision based on job prospects or circumstances,1,My first job was as a designer.,Small team (2–5 designers),Corporate (In-house),Graphic Design,VP level designer,13 years,"SVP, Product",2,3,2,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Under-compensation or financial pressure, Lack of growth opportunities at my company",3,16,No,"Proven business or user outcomes, Relationships with key stakeholders, Business accumen",2,5,advance to the next career level,4,5,4,"Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work",
3/6/2026 14:29:51,46-55,North America,Male,30,I was always on a design-specific track,I hold a Master's degree or higher in design.,Before college/university,4,5,3,A gradual accumulation of interests that reached a tipping point,3,My first job was as a designer.,Mid-size team (6–20 designers),Corporate (In-house),"UX Research, UI Design",Advisor / Mentor,18 months,N/A - I am an Advisor (Independent Practice),3,2,4,"Layoffs / Contraction at my company, Under-compensation or financial pressure, Lack of growth opportunities at my company",6,None - previous role 35,No,"Case studies with measurable business results, Business accumen, Technical accumen",4,5,shift to a different professional discipline / business area,3,4,30,"Writing (blog, book, articles), Presenting at conferences or events, Mentoring or coaching (informal), Social media / content creation",
3/6/2026 15:28:55,46-55,North America,Male,28,I was always on a design-specific track,I hold a Master's degree or higher in design.,During undergraduate studies,4,4,2,A natural continuation of what I'd always been doing,2,My first job was as a designer.,Mid-size team (6–20 designers),Corporate (In-house),Graphic Design,Design manager (managing one team of designers),1 year,Sr UX Manager,3,4,5,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Under-compensation or financial pressure, Burnout",10,5,No,"Proven business or user outcomes, Budget or scope of management, Years of experience",4,4,advance to the next career level,4,3,5,"Writing (blog, book, articles), Attending conferences and events, Community organizing or design advocacy",
3/6/2026 16:07:38,36-45,North America,Male,21,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,Early career (0–3 years into a different field),4,5,5,An unexpected opportunity I hadn't planned for,5,My first job was as a designer.,Solo designer (I was the only designer in the organization),Corporate (In-house),"Graphic Design, UI Design",Director level designer,6 years,VP of Product,5,4,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Lack of growth opportunities at my company, Burnout",7,80,Engineers (accessibility and design system),"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Business accumen",3,5,retirement,2,4,4,"Attending conferences and events, Side projects or freelance work",
